Sampling rate,PCA dims,Time
Sampling rate,PCA dims,Time
Sampling rate,PCA dims,Time
Sampling rate,PCA dims,Time
Sampling rate,PCA dims,Time
5,30,6.022765398025513
Sampling rate,PCA dims,Time
5,30,8.779503107070923
Sampling rate,PCA dims,Time
5,30,8.00659704208374
5,15,6.6960670948028564
5,18,5.707803964614868
5,21,7.343977689743042
5,24,9.177256345748901
5,27,9.426166772842407
10,30,12.953104972839355
10,15,10.347886323928833
10,18,11.195206880569458
10,21,10.922274827957153
10,24,13.587055683135986
10,27,11.084628105163574
20,30,14.212064504623413
20,15,11.945397853851318
20,18,11.159785985946655
20,21,12.743178844451904
20,24,13.469001770019531
20,27,15.006261348724365
25,30,22.77808380126953
25,15,18.103811025619507
25,18,19.525831699371338
25,21,23.198800563812256
25,24,25.133944749832153
25,27,23.458402156829834
40,30,11.939162492752075
40,15,8.859675407409668
40,18,10.827609300613403
40,21,11.052040576934814
40,24,11.125386714935303
40,27,11.868146419525146
50,30,47.79331088066101
50,15,32.84421467781067
50,18,36.85923981666565
50,21,40.440842628479004
50,24,42.56883883476257
50,27,45.689576387405396
Sampling rate,PCA dims,Time
Sampling rate,PCA dims,Time
5,30,6.195643901824951
Sampling rate,PCA dims,Time
5,30,6.533137321472168
5,15,5.935217380523682
Sampling rate,PCA dims,Time
5,30,11.922146558761597
5,15,9.263040781021118
5,18,12.574278354644775
Sampling rate,PCA dims,Time
5,30,7.677608013153076
5,15,4.5078349113464355
5,18,7.971957683563232
5,21,5.622140645980835
5,24,5.82194972038269
5,27,7.0947840213775635
10,30,10.775546312332153
10,15,10.768063068389893
10,18,9.837592840194702
10,21,12.570473670959473
10,24,12.05975079536438
10,27,16.087630033493042
20,30,14.349888324737549
20,15,11.31225037574768
20,18,10.81194543838501
20,21,12.479498624801636
20,24,11.91382884979248
20,27,12.931906700134277
25,30,29.320123434066772
25,15,17.589991331100464
25,18,21.850800037384033
25,21,22.05037236213684
25,24,22.24986720085144
25,27,26.948774814605713
40,30,13.455182790756226
40,15,10.97204303741455
40,18,10.801106691360474
40,21,10.722553968429565
40,24,11.22419261932373
40,27,15.878899812698364
50,30,55.28074645996094
50,15,33.94304585456848
50,18,38.27605104446411
50,21,44.381133794784546
50,24,42.93234848976135
50,27,45.75496244430542
Sampling rate,PCA dims,Time
20,30,19.60730504989624
20,15,14.69451379776001
20,18,14.334936618804932
20,21,16.89038848876953
20,24,15.582075595855713
20,27,13.638014316558838
40,30,28.484438180923462
40,15,22.19010066986084
40,18,24.863311290740967
40,21,28.98288130760193
40,24,26.30107545852661
40,27,34.49943709373474
