Sampling rate,PCA dims,SVM,NB,KNN,RF
5,60,0.08007955551147461,1583157509.352793,0.028218746185302734,1583157510.1307228
5,20,0.032945871353149414,1583157510.2327044,0.005017757415771484,1583157511.2240496
5,30,0.03784346580505371,1583157511.2809877,0.0069255828857421875,1583157512.1915526
5,40,0.15658092498779297,1583157512.3251412,0.021975040435791016,1583157513.6286573
5,50,0.08278012275695801,1583157513.8281224,0.009972810745239258,1583157514.8683395
10,60,0.20145440101623535,1583157515.0069768,0.021937131881713867,1583157516.9687324
10,20,0.2435142993927002,1583157517.224125,0.01687765121459961,1583157519.3113365
10,30,0.12257742881774902,1583157519.5898142,0.010874271392822266,1583157521.5376065
10,40,0.38123607635498047,1583157521.764903,0.01296687126159668,1583157524.2250712
10,50,0.16172027587890625,1583157524.6560214,0.01810598373413086,1583157526.7813382
20,60,0.20741868019104004,1583157527.0009317,0.020920276641845703,1583157528.6029544
20,20,0.12361669540405273,1583157528.8360507,0.008935928344726562,1583157531.2276556
20,30,0.1264650821685791,1583157531.3854105,0.01190328598022461,1583157533.0449433
20,40,0.2173445224761963,1583157533.213374,0.013886690139770508,1583157536.290216
20,50,0.3241579532623291,1583157536.63416,0.0418853759765625,1583157538.8033273
25,60,0.5824227333068848,1583157539.2521734,0.05785393714904785,1583157545.093609
25,20,0.8207724094390869,1583157545.7238822,0.021031618118286133,1583157550.124149
25,30,0.7481472492218018,1583157551.0235898,0.02901148796081543,1583157557.1461632
25,40,0.6900634765625,1583157557.994139,0.03881430625915527,1583157565.0702178
25,50,1.1200768947601318,1583157566.053479,0.11272144317626953,1583157571.8080397
40,60,0.19456887245178223,1583157572.9788978,0.021039247512817383,1583157575.1002233
40,20,0.12466764450073242,1583157575.33668,0.013961076736450195,1583157577.1847353
40,30,0.12465453147888184,1583157577.348315,0.012003183364868164,1583157579.0458643
40,40,0.1548757553100586,1583157579.2140236,0.014467716217041016,1583157581.5867202
40,50,0.21143674850463867,1583157581.8273253,0.021941661834716797,1583157584.3058662
50,60,4.629545211791992,1583157584.948063,0.137587308883667,1583157596.2658014
50,20,2.0644187927246094,1583157601.1078453,0.11961555480957031,1583157612.1374664
50,30,2.0525143146514893,1583157614.38129,0.08577227592468262,1583157627.5899837
50,40,3.139810800552368,1583157630.4551127,0.20166659355163574,1583157646.2299383
50,50,3.1834876537323,1583157649.8793879,0.18151354789733887,1583157665.3390553
