Sampling rate,PCA dims,Compress rate,Params
40,27,0.1,10255
40,27,0.2,9442
40,27,0.3,8629
40,27,0.4,7816
40,27,0.5,6190
40,27,0.6,5377
40,27,0.7,4564
40,27,0.8,3751
40,27,0.9,2938
40,30,0.1,11355
40,30,0.2,10442
40,30,0.3,9529
40,30,0.4,8616
40,30,0.5,6790
40,30,0.6,5877
40,30,0.7,4964
40,30,0.8,4051
40,30,0.9,3138
50,15,0.1,3655
50,15,0.2,3442
50,15,0.3,3229
50,15,0.4,3016
50,15,0.5,2590
50,15,0.6,2377
50,15,0.7,2164
50,15,0.8,1951
50,15,0.9,1738
50,18,0.1,4755
50,18,0.2,4442
50,18,0.3,4129
50,18,0.4,3816
50,18,0.5,3190
50,18,0.6,2877
50,18,0.7,2564
50,18,0.8,2251
50,18,0.9,1938
50,21,0.1,6955
50,21,0.2,6442
50,21,0.3,5929
50,21,0.4,5416
50,21,0.5,4390
50,21,0.6,3877
50,21,0.7,3364
50,21,0.8,2851
50,21,0.9,2338
50,24,0.1,8055
50,24,0.2,7442
50,24,0.3,6829
50,24,0.4,6216
50,24,0.5,4990
50,24,0.6,4377
50,24,0.7,3764
50,24,0.8,3151
50,24,0.9,2538
50,27,0.1,10255
50,27,0.2,9442
50,27,0.3,8629
50,27,0.4,7816
50,27,0.5,6190
50,27,0.6,5377
50,27,0.7,4564
50,27,0.8,3751
50,27,0.9,2938
50,30,0.1,11355
50,30,0.2,10442
50,30,0.3,9529
50,30,0.4,8616
50,30,0.5,6790
50,30,0.6,5877
50,30,0.7,4964
50,30,0.8,4051
50,30,0.9,3138
